📺央视频道,#genre#
广东经济,http://59.35.185.47:8188/rtp/239.77.0.85:5146
广东经济,http://113.66.40.167:10000/rtp/239.77.0.85:5146
广东经济,http://125.90.252.52:4022/rtp/239.77.0.85:5146
广东经济,http://14.21.241.112:8888/rtp/239.77.0.85:5146

深圳都市频道,http://59.35.185.47:8188/rtp/239.77.1.176:5146
深圳都市频道,http://113.66.40.167:10000/rtp/239.77.1.176:5146
深圳都市频道,http://125.90.252.52:4022/rtp/239.77.1.176:5146
深圳都市频道,http://14.21.241.112:8888/rtp/239.77.1.176:5146
深圳都市频道,http://59.35.185.47:8188/rtp/239.77.1.124:5146
深圳都市频道,http://113.66.40.167:10000/rtp/239.77.1.124:5146
深圳都市频道,http://125.90.252.52:4022/rtp/239.77.1.124:5146
深圳都市频道,http://14.21.241.112:8888/rtp/239.77.1.124:5146
深圳电视剧频道,http://59.35.185.47:8188/rtp/239.77.1.177:5146
深圳电视剧频道,http://113.66.40.167:10000/rtp/239.77.1.177:5146
深圳电视剧频道,http://125.90.252.52:4022/rtp/239.77.1.177:5146
深圳电视剧频道,http://14.21.241.112:8888/rtp/239.77.1.177:5146
深圳电视剧频道,http://59.35.185.47:8188/rtp/239.77.1.125:5146
深圳电视剧频道,http://113.66.40.167:10000/rtp/239.77.1.125:5146
深圳电视剧频道,http://125.90.252.52:4022/rtp/239.77.1.125:5146
深圳电视剧频道,http://14.21.241.112:8888/rtp/239.77.1.125:5146
深圳财经生活,http://59.35.185.47:8188/rtp/239.77.1.242:5146
深圳财经生活,http://113.66.40.167:10000/rtp/239.77.1.242:5146
深圳财经生活,http://125.90.252.52:4022/rtp/239.77.1.242:5146
深圳财经生活,http://14.21.241.112:8888/rtp/239.77.1.242:5146
深圳娱乐频道,http://59.35.185.47:8188/rtp/239.77.1.243:5146
深圳娱乐频道,http://113.66.40.167:10000/rtp/239.77.1.243:5146
深圳娱乐频道,http://125.90.252.52:4022/rtp/239.77.1.243:5146
深圳娱乐频道,http://14.21.241.112:8888/rtp/239.77.1.243:5146
深圳体育健康,http://59.35.185.47:8188/rtp/239.77.1.128:5146
深圳体育健康,http://113.66.40.167:10000/rtp/239.77.1.128:5146
深圳体育健康,http://125.90.252.52:4022/rtp/239.77.1.128:5146
深圳体育健康,http://14.21.241.112:8888/rtp/239.77.1.128:5146
深圳体育健康,http://59.35.185.47:8188/rtp/239.77.1.140:5146
深圳体育健康,http://113.66.40.167:10000/rtp/239.77.1.140:5146
深圳体育健康,http://125.90.252.52:4022/rtp/239.77.1.140:5146
深圳体育健康,http://14.21.241.112:8888/rtp/239.77.1.140:5146
深圳少儿频道,http://59.35.185.47:8188/rtp/239.77.1.244:5146
深圳少儿频道,http://113.66.40.167:10000/rtp/239.77.1.244:5146
深圳少儿频道,http://125.90.252.52:4022/rtp/239.77.1.244:5146
深圳少儿频道,http://14.21.241.112:8888/rtp/239.77.1.244:5146
深圳公共频道,http://59.35.185.47:8188/rtp/239.77.1.178:5146
深圳公共频道,http://113.66.40.167:10000/rtp/239.77.1.178:5146
深圳公共频道,http://125.90.252.52:4022/rtp/239.77.1.178:5146
深圳公共频道,http://14.21.241.112:8888/rtp/239.77.1.178:5146
深圳公共频道,http://59.35.185.47:8188/rtp/239.77.1.126:5146
深圳公共频道,http://113.66.40.167:10000/rtp/239.77.1.126:5146
深圳公共频道,http://125.90.252.52:4022/rtp/239.77.1.126:5146
深圳公共频道,http://14.21.241.112:8888/rtp/239.77.1.126:5146

💕广州电信,#genre#
CCTV-01广州,http://tvtj.jxwltx.com:8003/cctv1.m3u8
CCTV-02广州,http://tvtj.jxwltx.com:8003/cctv2.m3u8
CCTV-03广州,http://tvtj.jxwltx.com:8003/cctv3.m3u8
CCTV-04广州,http://tvtj.jxwltx.com:8003/cctv4.m3u8
CCTV-05广州,http://tvtj.jxwltx.com:8003/cctv5.m3u8
CCTV-06广州,http://tvtj.jxwltx.com:8003/cctv6.m3u8
CCTV-07广州,http://tvtj.jxwltx.com:8003/cctv7.m3u8
CCTV-08广州,http://tvtj.jxwltx.com:8003/cctv8.m3u8
CCTV-09广州,http://tvtj.jxwltx.com:8003/cctv9.m3u8
CCTV-10广州,http://tvtj.jxwltx.com:8003/cctv10.m3u8
CCTV-11广州,http://tvtj.jxwltx.com:8003/cctv11.m3u8
CCTV-12广州,http://tvtj.jxwltx.com:8003/cctv12.m3u8
CCTV-13广州,http://tvtj.jxwltx.com:8003/cctv13.m3u8
CCTV-14广州,http://tvtj.jxwltx.com:8003/cctv14.m3u8
CCTV-15广州,http://tvtj.jxwltx.com:8003/cctv15.m3u8
CCTV-16广州,http://tvtj.jxwltx.com:8003/cctv5p.m3u8
CCTV-17广州,http://tvtj.jxwltx.com:8003/cctv17.m3u8
北京卫视广州,http://tvtj1.jxwltx.com:8003/bjws.m3u8
天津卫视广州,http://tvtj1.jxwltx.com:8003/jlws.m3u8
浙江卫视广州,http://tvtj1.jxwltx.com:8003/zjws.m3u8
江苏卫视广州,http://tvtj.jxwltx.com:8003/jsws.m3u8
湖南卫视广州,http://tvtj.jxwltx.com:8003/hunanws.m3u8
广东卫视广州,http://tvtj.jxwltx.com:8003/gdws.m3u8
深圳卫视广州,http://tvtj1.jxwltx.com:8003/szws.m3u8
安徽卫视广州,http://tvtj1.jxwltx.com:8003/ahws.m3u8
海南卫视广州,http://tvtj1.jxwltx.com:8003/sdws.m3u8
山西卫视广州,http://tvtj1.jxwltx.com:8003/sxws.m3u8
河南卫视广州,http://tvtj1.jxwltx.com:8003/hnws.m3u8
江西卫视广州,http://tvtj1.jxwltx.com:8003/jxws.m3u8
四川卫视广州,http://tvtj1.jxwltx.com:8003/scws.m3u8
广西卫视广州,http://tvtj1.jxwltx.com:8003/gxws.m3u8
云南卫视广州,http://tvtj.jxwltx.com:8003/ynws.m3u8
东南卫视广州,http://tvtj.jxwltx.com:8003/dnws.m3u8
厦门卫视广州,http://tvtj1.jxwltx.com:8003/tjws.m3u8
宁夏卫视广州,http://tvtj1.jxwltx.com:8003/linxws.m3u8
延边卫视广州,http://tvtj1.jxwltx.com:8003/live1096.m3u8
       
广州综合广州,http://tvtj1.jxwltx.com:8003/live3044.m3u8
广州新闻广州,http://tvtj1.jxwltx.com:8003/live2958.m3u8
广东珠江广州,http://tvtj1.jxwltx.com:8003/live2897.m3u8
广东新闻广州,http://tvtj1.jxwltx.com:8003/live2825.m3u8
广东民生广州,http://tvtj1.jxwltx.com:8003/dfws.m3u8
广东体育广州,http://tvtj1.jxwltx.com:8003/live2915.m3u8
广东影视广州,http://tvtj1.jxwltx.com:8003/live1762.m3u8
广东湾区广州,http://tvtj.jxwltx.com:8003/neimenggu.m3u8
广东经济广州,http://tvtj1.jxwltx.com:8003/live3001.m3u8
广东现代广州,http://tvtj1.jxwltx.com:8003/live3087.m3u8
广东少儿广州,http://tvtj1.jxwltx.com:8003/live1570.m3u8

🍠内蒙频道,#genre#
内蒙古新闻综合,http://play1-qk.nmtv.cn/live/1686560423879174.m3u8
内蒙古文体娱乐,http://play1-qk.nmtv.cn/live/1686561195713372.m3u8
内蒙古经济生活,http://play1-qk.nmtv.cn/live/1686562470947181.m3u8
内蒙古农牧,http://play1-qk.nmtv.cn:80/live/1686561299036179.m3u8
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8

🌟港澳频道,#genre#
凤凰资讯,http://rihou.cc:555/tv/[SX]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[SX]凤凰香港
凤凰中文,http://rihou.cc:555/tv/[SX]凤凰中文

凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2

凤凰资讯,https://live.catvod.com/iptv.php?id=phzx01
凤凰香港,https://live.catvod.com/iptv.php?id=fhhk01
凤凰中文,https://live.catvod.com/iptv.php?id=phzw01

🐧其它频道,#genre#
CHC影迷电影,https://iptv.catvod.com/live.php?id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1
CHC动作电影,https://iptv.catvod.com/live.php?id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1
CHC家庭影院,https://iptv.catvod.com/live.php?id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2

🕘️更新时间,#genre#
2026.1.23刀郎经典,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4
